delta_T_log,hotspot_area_log,hotspot_avg_temp_change_rate_initial_norm,material_brick_cladding,material_gypsum,overall_std_deltaT,temp_max_overall_initial,temp_std_avg_initial
1.9600947840472698,4.07753744390572,0.002850599193975107,1,0,0.06499835620694877,25.2231369018555,0.29354962162281295
2.4932054526026954,4.574710978503383,0.003482684792533852,1,0,0.13929180051417586,25.8765201568604,0.6907439563240672
2.681021528714291,4.574710978503383,0.0024541832708935337,1,0,0.11192980827801581,26.0756778717041,0.7600928123842301
2.6602595372658615,5.278114659230517,0.003900191139374707,0,1,0.2422974507912401,26.6576137542725,0.7061026597824821
2.2617630984737906,4.564348191467836,0.0033590039676242634,1,0,0.11820923946982001,24.9820384979248,0.5426026079871564
1.9600947840472698,4.477336814478207,0.005106199377074564,0,1,0.09159496145540556,24.5654335021973,0.3481436243886699
2.2617630984737906,4.143134726391533,0.00544487397458456,1,0,0.1052278857216956,25.3434677124023,0.6042743823239969
2.4932054526026954,4.356708826689592,0.002128846730477866,1,0,0.0917176118899837,25.8632297515869,0.3463895300188335
2.681021528714291,5.030437921392435,0.0034837568053236534,0,1,0.19448942751734585,24.6192932128906,0.41763452963902625
1.7227665977411035,4.204692619390966,0.005377900241609416,1,0,0.07459149651628515,24.7672386169434,0.47281573629140106
2.2617630984737906,4.2626798770413155,0.005338033020054692,0,1,0.10835363388064768,24.2822170257568,0.33326203430627366
2.4932054526026954,4.836281906951478,0.0036301289516773565,0,1,0.13738723003393175,24.7403545379639,0.4369072207119968
2.4932054526026954,3.9889840465642745,0.0021574377045646045,1,0,0.07789989295831416,25.8632297515869,0.18887519921304427
2.681021528714291,3.784189633918261,0.0084188227576732,0,1,0.188488719944498,24.48459815979,0.3699336487058845
1.9600947840472698,4.718498871295094,0.004471814774752381,1,0,0.10531024918678619,24.5250263214111,0.515925942454593
1.916922612182061,5.0238805208462765,0.005748218534902638,0,1,0.11218565851060822,25.9163799285889,0.5827819649427809
2.2617630984737906,3.6888794541139363,0.002830024662545336,1,0,0.05498191571867147,25.9163799285889,0.17277379456305572
1.9600947840472698,0.0,,1,0,,,
1.7227665977411035,1.791759469228055,0.008046176361798368,0,1,0.08077458131399194,25.1026630401611,0.10040502727126689
2.681021528714291,3.9512437185814275,0.002250512641955441,1,0,0.13737962951194269,25.7834377288818,0.18031405437729384
1.9600947840472698,4.836281906951478,0.006358468593294421,0,1,0.11959765961103218,24.2011489868164,0.3074356020682463
1.7227665977411035,3.58351893845611,0.0060852560652992025,1,0,0.05949225751388274,24.2011489868164,0.4573459755158717
2.2300144001592104,5.062595033026967,0.005325011666362658,0,1,0.1546308822372719,26.3538379669189,0.6505605944263916
1.9600947840472698,4.795790545596741,0.0045524127847158665,0,1,0.09964781758503127,24.0523414611816,0.3043323121126281
2.468099531471619,5.4680601411351315,0.00487540697186838,0,1,0.2823904450341086,26.6839809417725,0.6369537302499455
2.681021528714291,4.543294782270004,0.002793752786939539,1,0,0.1586873481270599,25.0490684509277,0.5788158475005148
2.4932054526026954,4.574710978503383,0.008846589663365224,0,1,0.1664312970473812,24.6596603393555,0.3610075322756148
1.7227665977411035,2.1972245773362196,0.003810559228112918,1,0,0.050736832378965084,25.4102611541748,0.09829582239402948
2.2617630984737906,5.062595033026967,0.003543185189115255,0,1,0.11751409512849145,24.7269115447998,0.42317266634527134
2.681021528714291,4.983606621708336,0.0027598119001527002,0,1,0.1581452238969942,24.1335315704346,0.30941961251300354
2.4932054526026954,4.709530201312334,0.00355868104920153,1,0,0.15213415823803197,25.1428375244141,0.5490477875111963
1.7227665977411035,4.624972813284271,0.0054930410281235735,0,1,0.08933224834577289,23.8761940002441,0.28296489312029605
2.681021528714291,4.442651256490317,0.0019571562762199872,1,0,0.10695306802676072,25.8499298095703,0.33259611508693565
